dicofre,freguesia,crime,ocorrencias,nivel_gravidade
110660,Estrela,Tráfico de droga,1,4
110660,Estrela,Homicidio,1,5
110660,Estrela,Roubo via publica,1,2
110660,Estrela,Agressão com arma ,1,4
110660,Estrela,Agressão,3,4
110660,Estrela,Abandono Infantil,1,3
110661,Misericórdia,Assédio Sexual,1,2
110661,Misericórdia,Agressão,4,4
110661,Misericórdia,Agressão transportes publicos,2,4
110661,Misericórdia,Roubo via publica,2,2
110661,Misericórdia,"Posse arma, Trafico de droga",2,4
110661,Misericórdia,Assalto,1,4
110661,Misericórdia,Desacatos,1,2
110661,Misericórdia,Grupos criminosos,1,4
110661,Misericórdia,Vandalismo,1,2
110661,Misericórdia,Tráfico de droga,2,4
110661,Misericórdia,Agressão ,1,4
110665,Santa Maria Maior,Condução perigosa,1,2
110665,Santa Maria Maior,Imigração ilegal ,1,1
110665,Santa Maria Maior,Violencia Doméstica,1,3
110665,Santa Maria Maior,Atividades ilegais,1,1
110665,Santa Maria Maior,Tráfico de droga,5,4
110665,Santa Maria Maior,"Assalto,Agressão",1,4
110665,Santa Maria Maior,Assalto,5,4
110665,Santa Maria Maior,Agressão,3,4
110665,Santa Maria Maior,Homicidio,1,5
110665,Santa Maria Maior,Burla,2,3
110665,Santa Maria Maior,Atropelamento e fuga,1,3
110665,Santa Maria Maior,Roubo via publica,4,2
110665,Santa Maria Maior,Tráfico humano,1,5
110665,Santa Maria Maior,Agressão transportes publicos,2,4
110665,Santa Maria Maior,Agressão com arma ,1,4
110665,Santa Maria Maior,Corrupção,2,3
110665,Santa Maria Maior,Agressão/Violação,1,5
110665,Santa Maria Maior,Vandalismo,1,2
110665,Santa Maria Maior,Desobediencia,1,2
110665,Santa Maria Maior,"Agressão, Sequestro",1,5
110665,Santa Maria Maior,Agressão ,1,4
110665,Santa Maria Maior,Grupos criminosos,1,4
110658,Belém,Roubo via publica,1,2
110658,Belém,Roubo em transportes,1,2
110658,Belém,Fraude,1,1
110658,Belém,Abuso de poder,1,2
110658,Belém,Agressão com arma ,2,4
110667,São Vicente,"Posse arma, Trafico de droga",2,4
110667,São Vicente,Roubo via publica,1,2
110667,São Vicente,Abandono Infantil,4,3
110667,São Vicente,Homicidio,1,5
110667,São Vicente,Grupos criminosos,1,4
110659,Campo de Ourique,Burla,1,3
110659,Campo de Ourique,Agressão,1,4
110659,Campo de Ourique,Assalto,1,4
110601,Ajuda,"Assalto, Sequestro",1,5
110601,Ajuda,Posse arma,1,3
110601,Ajuda,Burla,1,3
110601,Ajuda,Agressão transportes publicos,1,4
110601,Ajuda,Grupos criminosos,1,4
110601,Ajuda,Agressão com arma ,1,4
110602,Alcântara,Vandalismo,1,2
110602,Alcântara,Desacatos,1,2
110602,Alcântara,Fraude,1,1
110602,Alcântara,Homicidio,1,5
110602,Alcântara,Assalto,1,4
110602,Alcântara,Burla,1,3
110602,Alcântara,Grupos criminosos,1,4
110666,Santo António,Assalto,3,4
110666,Santo António,Agressão transportes publicos,1,4
110666,Santo António,Agressão com arma ,1,4
110666,Santo António,Burla,1,3
110666,Santo António,Corrupção,1,3
110666,Santo António,Agressão,1,4
110656,Arroios,Assalto,2,4
110656,Arroios,Burla,2,3
110656,Arroios,Vandalismo,1,2
110656,Arroios,Agressão transportes publicos,1,4
110656,Arroios,Agressão ,1,4
110656,Arroios,Assalto ,1,4
110656,Arroios,Grupos criminosos,1,4
110656,Arroios,Tráfico de droga,1,4
110656,Arroios,Corrupção,1,3
110656,Arroios,Cibercrime,1,2
110656,Arroios,Homicidio,1,5
110656,Arroios,Desobediencia,1,2
110656,Arroios,Agressão com arma ,1,4
110663,Penha de França,Homicidio,1,5
110663,Penha de França,Corrupção,1,3
110663,Penha de França,Tráfico de droga,1,4
110663,Penha de França,Agressão,1,4
110663,Penha de França,Grupos criminosos,1,4
110607,Beato,Posse arma,1,3
110607,Beato,Corrupção,1,3
110657,Avenidas Novas,Vandalismo,1,2
110657,Avenidas Novas,Homicidio,2,5
110657,Avenidas Novas,Agressão,2,4
110657,Avenidas Novas,Burla,1,3
110657,Avenidas Novas,Assalto,1,4
110657,Avenidas Novas,Corrupção,1,3
110657,Avenidas Novas,Agressão ,1,4
110657,Avenidas Novas,Violencia Doméstica,1,3
110655,Areeiro,Tráfico de droga,1,4
110655,Areeiro,Crimes contra menores,1,3
110655,Areeiro,Agressão,1,4
110655,Areeiro,Assalto,3,4
110655,Areeiro,Posse arma,1,3
110655,Areeiro,"Posse arma, Trafico de droga",2,4
110655,Areeiro,Roubo via publica,1,2
110655,Areeiro,Homicidio,2,5
110655,Areeiro,Cibercrime,1,2
110655,Areeiro,Desobediencia,2,2
110655,Areeiro,Corrupção,2,3
110655,Areeiro,Grupos criminosos,2,4
110655,Areeiro,Vandalismo,1,2
110639,São Domingos de Benfica,Tráfico de droga,4,4
110639,São Domingos de Benfica,Agressão,1,4
110639,São Domingos de Benfica,Burla,1,3
110639,São Domingos de Benfica,Terrorismo ,1,5
110639,São Domingos de Benfica,Homicidio,2,5
110639,São Domingos de Benfica,Assalto,1,4
110639,São Domingos de Benfica,Grupos criminosos,1,4
110639,São Domingos de Benfica,Sequestro,1,5
110608,Benfica,Posse arma,1,3
110608,Benfica,Assédio Sexual,1,2
110608,Benfica,Agressão,1,4
110608,Benfica,Agressão transportes publicos,1,4
110608,Benfica,Tráfico de droga,1,4
110608,Benfica,Agressão com arma ,1,4
110608,Benfica,Agressão/Violação,1,5
110621,Marvila,"Agressão, Sequestro",2,5
110621,Marvila,Homicidio,1,5
110621,Marvila,Tráfico de droga,2,4
110621,Marvila,Agressão/Violação,1,5
110621,Marvila,Grupos criminosos,1,4
110654,Alvalade,Atropelamento e fuga,1,3
110654,Alvalade,Burla,1,3
110654,Alvalade,Terrorismo ,2,5
110654,Alvalade,Vandalismo,1,2
110654,Alvalade,Cibercrime,1,2
110654,Alvalade,Homicidio,5,5
110654,Alvalade,Violencia Doméstica,1,3
110654,Alvalade,Agressão,2,4
110654,Alvalade,Grupos criminosos,1,4
110654,Alvalade,Assalto,2,4
110611,Carnide,Homicidio,3,5
110611,Carnide,Tráfico de droga,2,4
110611,Carnide,Agressão,2,4
110611,Carnide,Agressão com arma ,1,4
110618,Lumiar,"Assalto, Sequestro",1,5
110618,Lumiar,Homicidio,1,5
110618,Lumiar,Burla,1,3
110618,Lumiar,Tráfico de droga,1,4
110618,Lumiar,Abuso autoridade,1,2
110618,Lumiar,Assalto,1,4
110633,Olivais,Especulação,2,1
110633,Olivais,Tráfico de droga,5,4
110633,Olivais,Assalto,2,4
110633,Olivais,Tráfico de diamantes,1,4
110633,Olivais,Burla,1,3
110662,Parque das Nações,Roubo via publica,2,2
110662,Parque das Nações,Especulação,1,1
110662,Parque das Nações,Desacatos,1,2
110662,Parque das Nações,"Posse arma, Trafico de droga",2,4
110662,Parque das Nações,Homicidio,2,5
110662,Parque das Nações,Agressão,2,4
110662,Parque das Nações,Desobediencia,1,2
110662,Parque das Nações,Violencia Doméstica,1,3
