Unnamed: 0;Total;Propriedade ou copropriedade;Arrendamento ou subarrendamento;Dicofre
PT: Portugal;4142581;2900093;922810;
17: Área Metropolitana de Lisboa;1191363;758598;347994;
170: Área Metropolitana de Lisboa;1191363;758598;347994;
150201: Alcochete;5144;3566;1124;150201
150202: Samouco;1325;821;406;150202
150203: São Francisco;942;698;172;150203
150303: Costa da Caparica;6569;3775;1980;150303
150312: União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas;22546;13302;7781;150312
150313: União das freguesias de Caparica e Trafaria;10723;5205;4576;150313
150314: União das freguesias de Charneca de Caparica e Sobreda;18864;14531;2854;150314
150315: União das freguesias de Laranjeiro e Feijó;16783;10567;5158;150315
111513: Águas Livres;16688;10365;5312;111513
111512: Alfragide;6636;4426;1784;111512
111514: Encosta do Sol;11246;5323;5328;111514
111515: Falagueira-Venda Nova;9369;5258;3484;111515
111516: Mina de Água;17418;11659;4670;111516
111517: Venteira;12156;7244;4182;111517
150407: Santo António da Charneca;4545;3490;752;150407
150409: União das freguesias de Alto do Seixalinho, Santo André e Verderena;18669;12453;5207;150409
150410: União das freguesias de Barreiro e Lavradio;9666;6450;2673;150410
150411: União das freguesias de Palhais e Coina;1466;1094;242;150411
110501: Alcabideche;16605;10350;4810;110501
110506: São Domingos de Rana;22766;16246;4770;110506
110507: União das freguesias de Carcavelos e Parede;19975;13405;5019;110507
110508: União das freguesias de Cascais e Estoril;27119;16435;8356;110508
110601: Ajuda;6549;2957;3219;110601
110602: Alcântara;6668;2750;3487;110602
110654: Alvalade;14765;7633;5791;110654
110655: Areeiro;9452;4703;3788;110655
110656: Arroios;15025;6130;7674;110656
110657: Avenidas Novas;10432;5008;4488;110657
110607: Beato;5713;2258;2987;110607
110658: Belém;7154;4282;2294;110658
110608: Benfica;16488;9441;5877;110608
110659: Campo de Ourique;10370;4145;5480;110659
110610: Campolide;6636;3000;3141;110610
110611: Carnide;7430;4300;2601;110611
110660: Estrela;8921;3688;4558;110660
110618: Lumiar;19547;13204;4864;110618
110621: Marvila;14104;6351;7052;110621
110661: Misericórdia;4864;1631;2926;110661
110633: Olivais;13986;9788;3193;110633
110662: Parque das Nações;9023;5703;2847;110662
110663: Penha de França;13241;5732;6560;110663
110664: Santa Clara;9188;3839;4795;110664
110665: Santa Maria Maior;4545;1101;3134;110665
110666: Santo António;5163;2123;2610;110666
110639: São Domingos de Benfica;15852;9690;4824;110639
110667: São Vicente;6928;2412;4121;110667
110702: Bucelas;1923;1177;584;110702
110705: Fanhões;1088;627;309;110705
110707: Loures;11871;8039;3056;110707
110708: Lousa;1323;782;387;110708
110731: União das freguesias de Camarate, Unhos e Apelação;12937;5343;6616;110731
110726: União das freguesias de Moscavide e Portela;9542;5715;3177;110726
110727: União das freguesias de Sacavém e Prior Velho;10188;5934;3724;110727
110728: União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela;18046;11815;4770;110728
110729: União das freguesias de Santo Antão e São Julião do Tojal;3301;1931;824;110729
110730: União das freguesias de Santo António dos Cavaleiros e Frielas;11333;8484;2149;110730
110902: Carvoeira;1157;796;239;110902
110904: Encarnação;1814;1374;269;110904
110906: Ericeira;5052;3194;1375;110906
110909: Mafra;7929;5454;1948;110909
110911: Milharado;2756;2123;414;110911
110913: Santo Isidoro;1734;1277;262;110913
110918: União das freguesias de Azueira e Sobral da Abelheira;1725;1309;259;110918
110919: União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário;1477;1084;236;110919
110920: União das freguesias de Igreja Nova e Cheleiros;1795;1249;397;110920
110921: União das freguesias de Malveira e São Miguel de Alcainça;3711;2459;1046;110921
110922: União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés;4002;2940;711;110922
150601: Alhos Vedros;6495;4798;1301;150601
150603: Moita;7155;5322;1382;150603
150607: União das freguesias de Baixa da Banheira e Vale da Amoreira;12917;8132;3981;150607
150608: União das freguesias de Gaio-Rosário e Sarilhos Pequenos;922;627;237;150608
150701: Canha;605;399;84;150701
150704: Sarilhos Grandes;1280;814;312;150704
150709: União das freguesias de Atalaia e Alto Estanqueiro-Jardia;2074;1447;425;150709
150710: União das freguesias de Montijo e Afonsoeiro;16620;10926;4699;150710
150711: União das freguesias de Pegões;1525;969;337;150711
111603: Odivelas;24709;16772;6472;111603
111608: União das freguesias de Pontinha e Famões;14164;8376;4712;111608
111609: União das freguesias de Póvoa de Santo Adrião e Olival Basto;8058;4889;2665;111609
111610: União das freguesias de Ramada e Caneças;13188;9408;2826;111610
111002: Barcarena;5790;4417;1028;111002
111009: Porto Salvo;5815;3661;1752;111009
111012: União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;21099;14027;5644;111012
111013: União das freguesias de Carnaxide e Queijas;14571;10190;3511;111013
111014: União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias;25738;16841;6884;111014
150802: Palmela;7180;5370;1240;150802
150803: Pinhal Novo;10580;7927;1877;150803
150804: Quinta do Anjo;5528;4144;940;150804
150806: União das freguesias de Poceirão e Marateca;3334;2330;472;150806
151002: Amora;20197;14247;4433;151002
151005: Corroios;20674;16233;3137;151005
151006: Fernão Ferro;7567;6356;606;151006
151007: União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires;19096;13887;4018;151007
151103: Quinta do Conde;10587;8297;1571;151103
151101: Sesimbra (Castelo);8048;6096;1262;151101
151102: Sesimbra (Santiago);1922;1028;748;151102
151207: Gâmbia-Pontes-Alto da Guerra;2486;2002;297;151207
151208: Sado;2106;1622;298;151208
151205: Setúbal (São Sebastião);21678;14379;5920;151205
151209: União das freguesias de Azeitão (São Lourenço e São Simão);7911;6378;939;151209
151210: União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça);16988;10728;5064;151210
111102: Algueirão-Mem Martins;26946;18799;6567;111102
111115: Casal de Cambra;5045;2670;1924;111115
111105: Colares;3193;1800;1005;111105
111108: Rio de Mouro;19266;13958;4144;111108
111122: União das freguesias de Agualva e Mira-Sintra;16860;11900;3924;111122
111123: União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar;6857;3786;2349;111123
111125: União das freguesias de Massamá e Monte Abraão;19616;14648;3735;111125
111126: União das freguesias de Queluz e Belas;20861;13939;5648;111126
111127: União das freguesias de São João das Lampas e Terrugem;7139;4000;2200;111127
111128: União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);11470;7834;2708;111128
111124: União das freguesias do Cacém e São Marcos;15894;10968;4017;111124
111412: União das freguesias de Alhandra, São João dos Montes e Calhandriz;5138;3447;1352;111412
111413: União das freguesias de Alverca do Ribatejo e Sobralinho;15054;10920;3337;111413
111414: União das freguesias de Castanheira do Ribatejo e Cachoeiras;3238;2231;807;111414
111415: União das freguesias de Póvoa de Santa Iria e Forte da Casa;16182;12289;3150;111415
111408: Vialonga;8182;5904;1808;111408
111409: Vila Franca de Xira;7847;4828;2542;111409
